,id,url,name,national_park,rating,difficulty,length,elevation_gain,route_type,dog_status,kid_status,bike_status,attributes,state,time
0,1,https://www.alltrails.com/trail/us/utah/the-zion-narrows-riverside-walk?ref=result-card,The Zion Narrows Riverside Walk,Zion National Park,4.5,easy,1.9,193.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'beach', 'forest', 'partially paved', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,0.75
2,3,https://www.alltrails.com/trail/us/utah/devils-garden-loop-trail-with-7-arches?ref=result-card,Devils Garden Loop Trail with 7 Arches,Arches National Park,5.0,hard,7.8,1131.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'snowshoeing', 'cave', 'partially paved', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'off trail', 'no shade', 'fee', 'no dogs']",Utah,3.12
3,4,https://www.alltrails.com/trail/us/utah/delicate-arch-trail?ref=result-card,Delicate Arch Trail,Arches National Park,5.0,moderate,3.4,626.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'partially paved', 'views', 'wildflowers', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,1.35
5,6,https://www.alltrails.com/trail/us/utah/fairyland-loop-trail?ref=result-card,Fairyland Loop Trail,Bryce Canyon National Park,5.0,moderate,7.8,1545.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'partially paved', 'views', 'rocky', 'fee', 'no dogs']",Utah,4.15
7,8,https://www.alltrails.com/trail/us/utah/the-watchman-trail?ref=result-card,The Watchman Trail,Zion National Park,4.5,moderate,3.1,646.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'nature trips', 'walking', 'running', 'river', 'views', 'wildflowers', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,1.68
10,11,https://www.alltrails.com/trail/us/utah/canyon-overlook-trail?ref=result-card,Zion Canyon Overlook Trail,Zion National Park,4.5,moderate,0.9,390.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'cave', 'views', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,0.7
11,12,https://www.alltrails.com/trail/us/utah/navajo-loop-and-queens-garden-trail?ref=result-card,Navajo Loop and Queen's Garden Trail,Bryce Canyon National Park,5.0,moderate,3.5,662.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,1.42
12,13,https://www.alltrails.com/trail/us/utah/peek-a-boo-loop-trail?ref=result-card,Peekaboo Loop Trail,Bryce Canyon National Park,5.0,moderate,5.2,1453.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'horseback riding', 'nature trips', 'river', 'views', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,3.08
13,14,https://www.alltrails.com/trail/us/utah/emerald-pools-trail?ref=result-card,Emerald Pools Trail,Zion National Park,4.0,moderate,3.0,620.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'partially paved', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,1.2
17,18,https://www.alltrails.com/trail/us/utah/zion-narrows-trail-to-imlay-temple-and-big-spring?ref=result-card,Zion Narrows Bottom Up to Big Springs,Zion National Park,5.0,hard,9.4,7362.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'bird watching', 'partially paved', 'river', 'views', 'waterfall', 'wildlife', 'rocky', 'scramble', 'off trail', 'fee', 'no dogs']",Utah,7.85
20,21,https://www.alltrails.com/trail/us/utah/mesa-arch?ref=result-card,Mesa Arch Trail,Canyonlands National Park,4.5,easy,0.7,88.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'running', 'views', 'wildflowers', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,0.3
22,23,https://www.alltrails.com/trail/us/utah/navajo-loop-trail?ref=result-card,Navajo Loop Trail,Bryce Canyon National Park,5.0,moderate,1.5,515.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'views', 'no shade', 'fee', 'no dogs']",Utah,0.62
26,27,https://www.alltrails.com/trail/us/utah/the-subway-trail?ref=result-card,The Subway Trail,Zion National Park,5.0,hard,9.1,1305.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'river', 'views', 'waterfall', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,4.55
29,30,https://www.alltrails.com/trail/us/utah/hickman-bridge-trail?ref=result-card,Hickman Bridge Trail,Capitol Reef National Park,4.5,moderate,1.8,442.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'views', 'wildflowers', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,0.73
31,32,https://www.alltrails.com/trail/us/utah/scout-lookout-trail?ref=result-card,Scout Lookout Trail,Zion National Park,5.0,hard,3.6,1115.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'paved', 'river', 'views', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,1.45
32,33,https://www.alltrails.com/trail/us/utah/sunset-point-to-sunrise-point?ref=result-card,Sunset Point to Sunrise Point,Bryce Canyon National Park,4.5,easy,1.1,82.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'paved', 'views', 'wildlife', 'fee']",Utah,0.5
34,35,https://www.alltrails.com/trail/us/utah/wall-street-and-queens-garden-loop-trail?ref=result-card,Wall Street and Queens Garden Loop Trail,Bryce Canyon National Park,5.0,moderate,3.2,643.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'views', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,1.28
37,38,https://www.alltrails.com/trail/us/wyoming/grand-view-point-trail?ref=result-card,Grand View Point Trail,Grand Teton National Park,4.5,moderate,5.1,1364.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,2.98
38,39,https://www.alltrails.com/trail/us/utah/east-mesa-trail-to-observation-point?ref=result-card,Observation Point via East Mesa Trail,Zion National Park,4.5,moderate,6.7,695.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,3.17
41,42,https://www.alltrails.com/trail/us/utah/cassidy-arch-trail?ref=result-card,Cassidy Arch Trail,Capitol Reef National Park,5.0,moderate,3.1,666.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'rock climbing', 'walking', 'bird watching', 'views', 'wildlife', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,1.23
44,45,https://www.alltrails.com/trail/us/utah/windows-loop-and-turret-arch-trail?ref=result-card,Windows Loop and Turret Arch Trail,Arches National Park,4.5,easy,1.2,154.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'snowshoeing', 'walking', 'partially paved', 'views', 'wildflowers', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,0.48
45,46,https://www.alltrails.com/trail/us/utah/queen-victoria-via-queens-garden-loop?ref=result-card,Queen Victoria via Queen's Garden Loop,Bryce Canyon National Park,5.0,easy,2.1,406.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'views', 'wildflowers', 'rocky', 'fee', 'no dogs']",Utah,1.12
48,49,https://www.alltrails.com/trail/us/utah/lower-emerald-pool-trail?ref=result-card,Lower Emerald Pool Trail,Zion National Park,4.0,easy,1.4,127.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'partially paved', 'river', 'views', 'waterfall', 'fee', 'no dogs']",Utah,0.57
50,51,https://www.alltrails.com/trail/us/utah/parus-trail?ref=result-card,Pa'rus Trail,Zion National Park,4.5,easy,3.4,157.0,Out & back,Dogs On Leash,Kid Friendly,Ideal For Biking,"['dogs on leash', 'wheelchair friendly', 'kid friendly', 'stroller friendly', 'hiking', 'mountain biking', 'nature trips', 'walking', 'running', 'forest', 'paved', 'river', 'views', 'wildflowers', 'wildlife', 'fee']",Utah,1.35
52,53,https://www.alltrails.com/trail/us/utah/landscape-arch-trail?ref=result-card,Landscape Arch Trail,Arches National Park,4.5,easy,1.9,259.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'partially paved', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.93
