id,national_park,state,Favorite Trails,Scenic Drive,Best Time to Go,Where to Stay,Admission Fee,Must-Have Experience,hotel_name,hotel_price,inception,highest_peak
0,Yellowstone National Park,Wyoming,"Dunraven Pass/Mount Washburn, Mammoth Hot Springs, Fairy Falls, Grand Prismatic Overlook",Grand Loop Road,"Visit in winter for fewer crowds, but be prepared for ice and snow.","Old Faithful Inn, Canyon Lodge, Grant Village","$35 per vehicle or $20 per individual, valid for 7 days",Watch the Old Faithful geyser go off reliably about once every hour,"['Hibernation Station', 'Golden Stone Inn', 'Arrowhead Lodge', 'Yellowstone Gateway Inn', 'Silver Gate Lodging', 'Yellowstone Valley Inn', 'Three Bear Lodge', 'Explorer Cabins', 'Gray Wolf Inn & Suites', ' Absaroka Lodge', ' Yellowstone Big Rock Inn', ' Historic Madison', "" Brandin' Iron Inn"", ' Kelly Inn', ' Clubhouse Inn', ' Yellowstone Park Hotel', ' The Ridgeline Hotel at Yellowstone', ' Holiday Inn West Yellowstone', ' Best Western Desert Inn', ' Days Inn by Wyndham West Yellowstone', ' The Pines at Island Park', ' Rainbow Ranch Lodge', ' Blackwater Creek Ranch', ' Sawtelle Mountain Resort', ' Pahaska Tepee Resort', ' Big Bear Motel', ' Headwaters Lodge at Flagg Ranch']","[119.0, 119.0, 300.0, 89.0, 204.24, 155.0, 69.0, 149.0, 99.0, 100.0, 140.0, 104.0, 69.0, 99.99, 170.0, 139.0, 109.0, 116.75, 107.99, 99.99, 209.0, 200.0, 75.0, 89.0, 119.99, 89.0, 79.0]",1872-03-01T00:00:00Z,Eagle Peak
1,Sequoia National Park,California,"Big Trees, Tokopah Falls, Middle Fork",Generals Highway,"Fall is the best time for fewer crowds, but you’ll also experience limited services.",Wuksachi Lodge,"$35 per vehicle or $20 per individual, valid for 7 days","Walk among the giants on the Big Trees Trail and view the General Sherman Tree, the largest living organism on the planet.","['Wuksachi Village & Lodge', 'John Muir Lodge', 'Grant Grove Cabins', 'Rio Sierra Riverhouse', 'Gateway Lodge', 'Cedar Grove Lodge', 'Silver City Resort', 'Buckeye Tree Lodge & Cabins', 'Comfort Inn & Suites Sequoia Kings Canyon', ' Sequoia River Dance Bed & Breakfast', ' Lazy J Ranch Motel', ' Sierra Lodge', ' Sequoia Motel', ' The River Jewel Suites', ' Holiday Inn Express & Suites Dinuba West', ' Wyndham Visalia']","[129.0, 145.0, 56.0, 180.0, 150.0, 158.0, 165.0, 129.0, 99.0, 155.0, 125.0, 139.0, 105.0, 250.0, 80.0, 115.0]",1940-03-04T00:00:00Z,Mount Whitney
2,Yosemite National Park,California,"Mono Pass, Sentinel Dome, Bridalveil Falls, Half Dome (permit required)",,Late spring when the roads have re-opened but crowds have yet to arrive,"Tenaya, Half Dome, Best Western Plus","$35 per vehicle or $20 per individual, valid for 7 days",Tuolumne Meadows is my favorite place in Yosemite National Park – don’t miss it!,"['Ahwahnee Hotel', 'Yosemite Valley Lodge', 'Curry Village', 'Wawona Hotel', 'Narrow Gauge Inn', 'Scenic Wonders Vacation Homes & Condos', 'Tenaya Lodge & Cottages', 'Yosemite View Lodge', 'Rush Creek Lodge', ' AutoCamp Yosemite', ' Redwoods in Yosemite Vacation Home', ' Evergreen Lodge', ' Cedar Lodge', ' Yosemite Riverside Inn', ' Yosemite Westgate Lodge', ' Sonora Inn', ' Miners Inn', ' Mariposa Lodge', ' White Chief Mountain Lodge', ' Yosemite Bug Rustic Mountain Resort', ' Scenic Wonders Bass Lake', ' Pines Resort at Bass Lake', ' Yosemite Southgate Hotel & Suites', ' Best Western Plus Yosemite Gateway Inn Oakhurst', ' Sierra Sky Ranch', ' Yosemite Sierra Inn', ' Hounds Tooth Inn', ' Comfort Inn at Oakhurst', ' Best Western Plus Yosemite Way Station Mariposa', ' Groveland Hotel', ' Hotel Charlotte', ' Chateau du Sureau']","[341.0, 209.0, 90.0, 157.0, 89.0, 119.0, 165.0, 129.0, 265.0, 179.0, 182.0, 160.0, 79.0, 129.0, 89.0, 79.0, 90.0, 189.0, 79.0, 29.0, 125.0, 169.0, 85.0, 119.99, 119.0, 104.45, 272.5, 90.0, 120.0, 121.0, 139.0, 325.0]",1890-10-01T00:00:00Z,Mount Lyell
3,Zion National Park,Utah,"Angel’s Landing, The Narrows, Canyon Overlook",Zion Canyon Scenic Drive (only accessible by shuttle spring to fall),"Visit in winter for fewer crowds, but be prepared for ice and snow.","Zion Lodge, Cable Mountain, Best Western Plus","$35 per vehicle or $20 per individual, valid for 7 days",Check out the Kolob Canyons section for fewer people and spectacular red rocks.,"['Zion Mountain Ranch', ""Flanigan's Inn"", 'Driftwood Lodge', 'Holiday Inn Express Springdale', 'Cliffrose Springdale, Curio Collection by Hilton', 'Novel House', 'Zion Ponderosa Ranch Resort', 'Parry Lodge']","[229.0, 99.0, 89.0, 89.0, 179.0, 199.0, 129.0, 99.0]",1919-11-19T00:00:00Z,Horse Ranch Mountain
4,Denali National Park,Alaska,"Savage Alpine, Thorofare Ridge, Triple Lakes, Mount Healy Overlook, Horseshoe Lake",Denali Park Road,"Most of Denali’s single road is only accessible by tour buses, which only operate in summer.","McKinley Chalet, Denali Bluffs, Grizzly Bear Resort, Grande Denali Lodge, Touch of Wilderness","$15 per person, valid for 7 days",Take a bus trip at least as far as the Eielson Visitor Center for the best scenery in the park.,"['Kantishna Roadhouse Backcountry Resort', 'Denali Backcountry Lodge', 'Denali Bluffs Hotel', 'Grande Denali Lodge', ""Denali Crow's Nest Log Cabins"", 'Denali Cabins', 'McKinley Creekside Cabins', 'Earthsong Lodge', 'Denali Princess Wilderness Lodge', ' McKinley Chalet Resort', ' Denali Park Village', ' Tonglen Lake Lodge', ' Denali Hostel & Cabins', ' Carlo Creek Cabins', ' Denali Tri Valley Cabins', ' Denali Touch of Wilderness B&B Inn', ' Aurora Denali Lodge', ' Denali Park Hotel', ' Mt. McKinley Princess Wilderness Lodge', ' Comfort Inn Downtown Anchorage - Ship Creek', ' SpringHill Suites by Marriott Anchorage Midtown', ' Residence Inn by Marriott Anchorage Midtown', ' Hampton Inn Anchorage', ' Ramada by Wyndham Anchorage Downtown', ' SpringHill Suites by Marriott Fairbanks', ' Hampton Inn & Suites Fairbanks', ' La Quinta Inn & Suites by Wyndham Fairbanks Airport', ' Talkeetna Alaskan Lodge']","[1120.0, 1150.0, 199.0, 229.0, 279.0, 169.0, 229.0, 189.0, 149.0, 199.0, 320.0, 400.0, 100.0, 149.0, 159.0, 165.0, 89.0, 114.0, 149.0, 104.0, 99.0, 149.0, 89.0, 73.0, 119.0, 124.0, 104.0, 129.0]",1917-01-01T00:00:00Z,Denali
5,Bryce Canyon National Park,Utah,"Mossy Cave, Rim Trail, Navajo Loop, Fairyland Loop",Park Road,"Winter is less crowded, but trails may be closed due to ice and snow","Ruby’s Inn, Best Western Plus","$35 per vehicle or $20 per individual, valid for 7 days",Walk on the Navajo Loop to view the hoodoos up close,"['Bryce Canyon Lodge', 'Bryce Trails B&B', 'Best Western Plus Bryce Canyon Grand Hotel', ""Best Western Plus Ruby's Inn"", 'Bryce Pioneer Village', 'Bryce View Lodge', 'Bryce Canyon Pines', 'Bryce Canyon Inn', 'Stone Canyon Inn', ' Red Ledges Inn (Formerly Americas Best Value Inn Bryce Canyon)', ' Bryce Canyon Villas']","[135.0, 119.0, 94.95, 79.95, 85.0, 79.95, 65.0, 89.0, 95.0, 74.0, 75.0]",1928-09-15T00:00:00Z,Rainbow Point
6,Grand Teton National Park,Wyoming,"Bearpaw and Trapper Lakes, Garnet Canyon, Grand View Point, Jenny Lake Loop, Paintbrush Canyon, Taggart Lake",,September-October for autumn leaves and fewer crowds,"Jackson Lake Lodge, Jenny Lake Lodge, Snake River Lodge","$35 per vehicle or $20 per individual, valid for 7 days","Drive through the park and marvel at the views that inspired the song “America the Beautiful”, then hike any trail for a different view","['Jackson Lake Lodge', 'Signal Mountain Lodge', 'Colter Bay Village', 'Jenny Lake Lodge', 'Togwotee Mountain Lodge', 'Elk Refuge Inn', 'Snake River Park Cabins', 'Headwaters Lodge at Flagg Ranch', ' Anvil Hotel', ' Rustic Inn Creekside Resort & Spa', ' Lodge at Jackson Hole', ' Lexington at Jackson Hole', ' 49er Inn', ' Antler Inn', ' Cowboy Village Resort', ' Elk Country Inn', ' Snake River Lodge & Spa', ' Teton Mountain Lodge & Spa', ' Four Seasons Resort', ' Snow King Resort & Condos', ' Rendezvous Mountain Rentals']","[356.0, 236.55, 83.0, 835.0, 209.0, 71.0, 58.0, 79.0, 132.0, 159.0, 119.0, 129.99, 189.0, 78.0, 154.0, 92.0, 139.0, 414.0, 365.0, 109.0, 129.0]",1929-02-26T00:00:00Z,Grand Teton
7,Arches National Park,Utah,"Delicate Arch, Balanced Rock, The Windows, Skyline Arch, Devils Garden, Park Avenue",Main Park Road,"Spring and fall have milder temperatures, but larger crowds","Comfort Inn, Moab Springs Ranch, Airbnb","$30 per vehicle or $15 per individual, valid for 7 days",Join a Park Ranger for a tour through the Fiery Furnace,"['Moab Springs Ranch', 'Red Cliffs Lodge', 'Sorrel River Ranch Resort and Spa', 'Aarchway Inn', 'Gonzo Inn', 'Best Western Plus Canyonlands Inn', 'Best Western Plus Greenwell Inn', 'Bowen Motel', 'Big Horn Lodge']","[119.0, 120.0, 1129.0, 60.0, 286.0, 109.0, 89.0, 84.18, 69.95]",1971-11-12T00:00:00Z,Elephant Butte
8,Mesa Verde National Park,Colorado,"Prater Ridge, Point Lookout, Spruce Canyon, Petroglyph Point, Spring House (ranger-guided)",,"April to October is when most services and accommodations are available, though summer also brings the heat.","Far View, Mesa Verde Farm and Studio, Hampton Inn, Holiday Inn","In summer, it costs $30 per vehicle or $15 per individual, valid for 7 days. Winter is $20 per vehicle and $10 per person.",Visit a cliff dwelling as part of a ranger-led tour and view Spruce Tree House from the visitor center.,"['Willowtail Springs', 'Far View Lodge']","[239.0, 110.0]",1906-01-01T00:00:00Z,Park Point
9,Crater Lake National Park,Oregon,"Sun Notch, Plaikni Falls, The Pinnacles, Watchman Peak, Wizard Summit, Garfield Peak, Mount Scott, Crater Peak",Rim Drive,Access is easiest in summer.,"Crater Lake Lodge, Sleep Inn, Eagle Crater Lake Inn","In summer, it costs $25 per vehicle or $12 per individual, valid for 7 days.",Circle Crater Lake on the Rim Drive and stop at its dramatic overlooks.,"['Crater Lake Lodge', 'Running Y Ranch Resort', 'Diamond Lake Resort', 'Cimarron Inn']","[165.0, 129.0, 94.0, 92.99]",1902-01-01T00:00:00Z,Mount Scott
