national_park,Category,Common Names,Record Status,Occurrence
Acadia National Park,Mammal,Moose,Approved,Present
Acadia National Park,Mammal,Deer,Approved,Present
Acadia National Park,Mammal,Coyote,Approved,Present
Acadia National Park,Mammal,Fox,Approved,Present
Acadia National Park,Mammal,Otter,Approved,Present
Acadia National Park,Mammal,Fisher,Approved,Present
Acadia National Park,Mammal,Weasel,Approved,Present
Acadia National Park,Mammal,Mink,Approved,Present
Acadia National Park,Mammal,Raccoon,Approved,Present
Acadia National Park,Mammal,Bear,Approved,Present
Acadia National Park,Mammal,Bat,Approved,Present
Acadia National Park,Mammal,Myotis,Approved,Present
Acadia National Park,Mammal,Hare,Approved,Present
Acadia National Park,Mammal,Beaver,Approved,Present
Acadia National Park,Mammal,Mouse,Approved,Present
Acadia National Park,Mammal,Lemming,Approved,Present
Acadia National Park,Mammal,Porcupine,Approved,Present
Acadia National Park,Mammal,Squirrel,Approved,Present
Acadia National Park,Mammal,Woodchuck,Approved,Present
Acadia National Park,Mammal,Chipmunk,Approved,Present
Acadia National Park,Mammal,Shrew,Approved,Present
Acadia National Park,Mammal,Mole,Approved,Present
Acadia National Park,Bird,Hawk,Approved,Present
Acadia National Park,Bird,Goshawk,Approved,Present
Acadia National Park,Bird,Eagle,Approved,Present
Acadia National Park,Bird,Vulture,Approved,Present
Acadia National Park,Bird,Duck,Approved,Present
Acadia National Park,Bird,Pintail,Approved,Present
Acadia National Park,Bird,Baldpate,Approved,Present
Acadia National Park,Bird,Teal,Approved,Present
Acadia National Park,Bird,Widgeon,Approved,Present
Acadia National Park,Bird,Mallard,Approved,Present
Acadia National Park,Bird,Gadwall,Approved,Present
Acadia National Park,Bird,Goose,Approved,Present
Acadia National Park,Bird,Canvasback,Approved,Present
Acadia National Park,Bird,Buffle-Head,Approved,Present
Acadia National Park,Bird,Goldeneye,Approved,Present
Acadia National Park,Bird,Merganser,Approved,Present
Acadia National Park,Bird,Eider,Approved,Present
Acadia National Park,Bird,Swift,Approved,Present
Acadia National Park,Bird,Hummingbird,Approved,Present
Acadia National Park,Bird,Whip-Poor-Will,Approved,Present
Acadia National Park,Bird,Nighthawk,Approved,Present
Acadia National Park,Bird,Pigeon,Approved,Present
Acadia National Park,Bird,Killdeer,Approved,Present
Acadia National Park,Bird,Plover,Approved,Present
Acadia National Park,Bird,Gull,Approved,Present
Acadia National Park,Bird,Tern,Approved,Present
Acadia National Park,Bird,Avocet,Approved,Present
Acadia National Park,Bird,Sandpiper,Approved,Present
Acadia National Park,Bird,Turnstone,Approved,Present
Acadia National Park,Bird,Snipe,Approved,Present
Acadia National Park,Bird,Dowitcher,Approved,Present
Acadia National Park,Bird,Whimbrel,Approved,Present
Acadia National Park,Bird,Woodcock,Approved,Present
Acadia National Park,Bird,Yellow-Legs,Approved,Present
Acadia National Park,Bird,Dove,Approved,Present
Acadia National Park,Bird,Kingfisher,Approved,Present
Acadia National Park,Bird,Cuckoo,Approved,Present
Acadia National Park,Bird,Merlin,Approved,Present
Acadia National Park,Bird,Gyrfalcon,Approved,Present
Acadia National Park,Bird,Partridge,Approved,Present
Acadia National Park,Bird,Grouse,Approved,Present
Acadia National Park,Bird,Loon,Approved,Present
Acadia National Park,Bird,Coot,Approved,Present
Acadia National Park,Bird,Moorhen,Approved,Present
Acadia National Park,Bird,Gallinule,Approved,Present
Acadia National Park,Bird,Sora,Approved,Present
Acadia National Park,Bird,Rail,Approved,Present
Acadia National Park,Bird,Lark,Approved,Present
Acadia National Park,Bird,Waxwing,Approved,Present
Acadia National Park,Bird,Bunting,Approved,Present
Acadia National Park,Bird,Grosbeak,Approved,Present
Acadia National Park,Bird,Tanager,Approved,Present
Acadia National Park,Bird,Creeper,Approved,Present
Acadia National Park,Bird,Crow,Approved,Present
Acadia National Park,Bird,Raven,Approved,Present
Acadia National Park,Bird,Jay,Approved,Present
Acadia National Park,Bird,Sparrow,Approved,Present
Acadia National Park,Bird,Junco,Approved,Present
Acadia National Park,Bird,Towhee,Approved,Present
Acadia National Park,Bird,Siskin,Approved,Present
Acadia National Park,Bird,Goldfinch,Approved,Present
Acadia National Park,Bird,Finch,Approved,Present
Acadia National Park,Bird,Crossbill,Approved,Present
Acadia National Park,Bird,Swallow,Approved,Present
Acadia National Park,Bird,Martin,Approved,Present
Acadia National Park,Bird,Blackbird,Approved,Present
Acadia National Park,Bird,Oriole,Approved,Present
Acadia National Park,Bird,Cowbird,Approved,Present
Acadia National Park,Bird,Grackle,Approved,Present
Acadia National Park,Bird,Meadowlark,Approved,Present
Acadia National Park,Bird,Catbird,Approved,Present
Acadia National Park,Bird,Thrasher,Approved,Present
Acadia National Park,Bird,Pipit,Approved,Present
Acadia National Park,Bird,Chickadee,Approved,Present
Acadia National Park,Bird,Warbler,Approved,Present
Acadia National Park,Bird,Throat,Approved,Present
Acadia National Park,Bird,Ovenbird,Approved,Present
Acadia National Park,Bird,Water-Thrush,Approved,Present
Acadia National Park,Bird,Redstart,Approved,Present
Acadia National Park,Bird,Gnatcatcher,Approved,Present
Acadia National Park,Bird,Kinglet,Approved,Present
Acadia National Park,Bird,Nuthatch,Approved,Present
Acadia National Park,Bird,Wren,Approved,Present
Acadia National Park,Bird,Veery,Approved,Present
Acadia National Park,Bird,Thrush,Approved,Present
Acadia National Park,Bird,Bluebird,Approved,Present
Acadia National Park,Bird,Robin,Approved,Present
Acadia National Park,Bird,Flycatcher,Approved,Present
Acadia National Park,Bird,Pewee,Approved,Present
Acadia National Park,Bird,Phoebe,Approved,Present
Acadia National Park,Bird,Kingbird,Approved,Present
Acadia National Park,Bird,Vireo,Approved,Present
Acadia National Park,Bird,Egret?,Approved,Present
Acadia National Park,Bird,Heron,Approved,Present
Acadia National Park,Bird,Bittern,Approved,Present
Acadia National Park,Bird,Egret,Approved,Present
Acadia National Park,Bird,Night-Heron,Approved,Present
Acadia National Park,Bird,Ibis,Approved,Present
Acadia National Park,Bird,Flicker,Approved,Present
Acadia National Park,Bird,Woodpecker,Approved,Present
Acadia National Park,Bird,Sapsucker,Approved,Present
Acadia National Park,Bird,Grebe,Approved,Present
Acadia National Park,Bird,Owl,Approved,Present
Acadia National Park,Bird,Cormorant,Approved,Present
Acadia National Park,Reptile,Snake,Approved,Present
Acadia National Park,Reptile,Turtle,Approved,Present
Acadia National Park,Amphibian,Toad,Approved,Present
Acadia National Park,Amphibian,Peeper,Approved,Present
Acadia National Park,Amphibian,Bullfrog,Approved,Present
Acadia National Park,Amphibian,Frog,Approved,Present
Acadia National Park,Amphibian,Salamander,Approved,Present
Acadia National Park,Amphibian,Newt,Approved,Present
Acadia National Park,Fish,Eel,Approved,Present
Acadia National Park,Fish,Silverside,Approved,Present
Acadia National Park,Fish,Alewife,Approved,Present
Acadia National Park,Fish,Menhaden,Approved,Present
Acadia National Park,Fish,Herring,Approved,Present
Acadia National Park,Fish,Sucker,Approved,Present
Acadia National Park,Fish,Shiner,Approved,Present
Acadia National Park,Fish,Dace,Approved,Present
Acadia National Park,Fish,Chub,Approved,Present
Acadia National Park,Fish,Fallfish,Approved,Present
Acadia National Park,Fish,Minnow,Approved,Present
Acadia National Park,Fish,Mummichog,Approved,Present
Acadia National Park,Fish,Pickerel,Approved,Present
Acadia National Park,Fish,Pollock,Approved,Present
Acadia National Park,Fish,Stickleback,Approved,Present
Acadia National Park,Fish,Smelt,Approved,Present
Acadia National Park,Fish,Sunfish,Approved,Present
Acadia National Park,Fish,Pumpkinseed,Approved,Present
Acadia National Park,Fish,Bass,Approved,Present
Acadia National Park,Fish,Perch,Approved,Present
Acadia National Park,Fish,Yellowtail,Approved,Present
Acadia National Park,Fish,Salmon,Approved,Present
Acadia National Park,Fish,Trout,Approved,Present
Acadia National Park,Fish,Togue,Approved,Present
Acadia National Park,Fish,Bullhead,Approved,Present
Acadia National Park,Vascular Plant,Grass,Approved,Present
Acadia National Park,Vascular Plant,Plantain,Approved,Present
Acadia National Park,Vascular Plant,Arrowhead,Approved,Present
