id,name,state,hotel_name,hotel_price
0,Yosemite,California,"['Ahwahnee Hotel', 'Yosemite Valley Lodge', 'Curry Village', 'Wawona Hotel', 'Narrow Gauge Inn', 'Scenic Wonders Vacation Homes & Condos', 'Tenaya Lodge & Cottages', 'Yosemite View Lodge', 'Rush Creek Lodge', ' AutoCamp Yosemite', ' Redwoods in Yosemite Vacation Home', ' Evergreen Lodge', ' Cedar Lodge', ' Yosemite Riverside Inn', ' Yosemite Westgate Lodge', ' Sonora Inn', ' Miners Inn', ' Mariposa Lodge', ' White Chief Mountain Lodge', ' Yosemite Bug Rustic Mountain Resort', ' Scenic Wonders Bass Lake', ' Pines Resort at Bass Lake', ' Yosemite Southgate Hotel & Suites', ' Best Western Plus Yosemite Gateway Inn Oakhurst', ' Sierra Sky Ranch', ' Yosemite Sierra Inn', ' Hounds Tooth Inn', ' Comfort Inn at Oakhurst', ' Best Western Plus Yosemite Way Station Mariposa', ' Groveland Hotel', ' Hotel Charlotte', ' Chateau du Sureau']","[341.0, 209.0, 90.0, 157.0, 89.0, 119.0, 165.0, 129.0, 265.0, 179.0, 182.0, 160.0, 79.0, 129.0, 89.0, 79.0, 90.0, 189.0, 79.0, 29.0, 125.0, 169.0, 85.0, 119.99, 119.0, 104.45, 272.5, 90.0, 120.0, 121.0, 139.0, 325.0]"
1,Yellowstone,Wyoming,"['Hibernation Station', 'Golden Stone Inn', 'Arrowhead Lodge', 'Yellowstone Gateway Inn', 'Silver Gate Lodging', 'Yellowstone Valley Inn', 'Three Bear Lodge', 'Explorer Cabins', 'Gray Wolf Inn & Suites', ' Absaroka Lodge', ' Yellowstone Big Rock Inn', ' Historic Madison', "" Brandin' Iron Inn"", ' Kelly Inn', ' Clubhouse Inn', ' Yellowstone Park Hotel', ' The Ridgeline Hotel at Yellowstone', ' Holiday Inn West Yellowstone', ' Best Western Desert Inn', ' Days Inn by Wyndham West Yellowstone', ' The Pines at Island Park', ' Rainbow Ranch Lodge', ' Blackwater Creek Ranch', ' Sawtelle Mountain Resort', ' Pahaska Tepee Resort', ' Big Bear Motel', ' Headwaters Lodge at Flagg Ranch']","[119.0, 119.0, 300.0, 89.0, 204.24, 155.0, 69.0, 149.0, 99.0, 100.0, 140.0, 104.0, 69.0, 99.99, 170.0, 139.0, 109.0, 116.75, 107.99, 99.99, 209.0, 200.0, 75.0, 89.0, 119.99, 89.0, 79.0]"
2,Grand Teton,Wyoming,"['Jackson Lake Lodge', 'Signal Mountain Lodge', 'Colter Bay Village', 'Jenny Lake Lodge', 'Togwotee Mountain Lodge', 'Elk Refuge Inn', 'Snake River Park Cabins', 'Headwaters Lodge at Flagg Ranch', ' Anvil Hotel', ' Rustic Inn Creekside Resort & Spa', ' Lodge at Jackson Hole', ' Lexington at Jackson Hole', ' 49er Inn', ' Antler Inn', ' Cowboy Village Resort', ' Elk Country Inn', ' Snake River Lodge & Spa', ' Teton Mountain Lodge & Spa', ' Four Seasons Resort', ' Snow King Resort & Condos', ' Rendezvous Mountain Rentals']","[356.0, 236.55, 83.0, 835.0, 209.0, 71.0, 58.0, 79.0, 132.0, 159.0, 119.0, 129.99, 189.0, 78.0, 154.0, 92.0, 139.0, 414.0, 365.0, 109.0, 129.0]"
3,Glacier,Montana,"['Historic Tamarack Lodge & Cabins', 'Izaak Walton Inn', 'Gentry River Ranch', 'North Forty Resort', 'The Cabins at Whitefish', 'The Cottages at Glacier', 'Grouse Mountain Lodge', 'Prince of Wales Hotel', 'Apgar Village Lodge & Cabins', ' Motel Lake McDonald', ' St. Mary Village', ' Glacier Park Lodge', ' Saint Mary / East Glacier KOA', ' Glacier Highland Motel', ' Silverwolf Log Chalet Resort', ' Glacier Vista Motel', ' Moss Mountain Inn', ' Stanton Creek Lodge', ' Glacier Haven Inn', ' Halfway Hotel', ' Glacier Cabins', ' Great Bear Inn', ' Meadow Lake Resort', ' Meadow Lake View Bed & Breakfast', ' Country Inn & Suites by Radisson', ' Pine Lodge on Whitefish River', ' Lodge at Whitefish Lake', ' Firebrand Hotel', ' Best Western Rocky Mountain Lodge', ' Baymont by Wyndham Whitefish', ' Kandahar Lodge', ' Whitefish Mountain Resort', ' Holiday Inn Express & Suites Kalispell', ' Red Lion Hotel Kalispell', ' Hampton Inn Kalispell', ' Hilton Garden Inn Kalispell']","[75.0, 109.0, 395.0, 119.0, 81.0, 290.0, 114.0, 249.0, 99.0, 159.0, 109.0, 149.0, 75.0, 144.0, 129.0, 135.0, 140.0, 119.0, 99.0, 99.0, 109.0, 118.0, 89.0, 219.0, 75.68, 116.0, 115.0, 119.0, 129.0, 89.0, 119.0, 99.0, 80.0, 75.24, 97.0, 86.0]"
4,Grand Canyon,Arizona,"['Grand Canyon Plaza Hotel', 'Yavapai Lodge', 'Grand Canyon Lodge', 'Best Western Premier Grand Canyon Squire Inn', 'Holiday Inn Express Hotel & Suites Grand Canyon', 'Kaibab Lodge']","[99.0, 112.0, 158.0, 179.0, 113.0, 105.0]"
5,Olympic,Washington,"['Kalaloch Lodge', 'A Hidden Haven Forest Cottages', 'Lake Crescent Lodge', 'Lake Quinault Lodge', 'Sol Duc Hot Springs Resort', 'Log Cabin Resort', 'Olympic Lodge', 'Rain Forest Resort Village', 'Forks Motel', ' Manresa Castle Hotel', ' Red Lion Hotel Port Angeles', ' Quality Inn Uptown', ' Super 8 by Wyndham Port Angeles at Olympic National Park', ' Dew Drop Inn', ' Holiday Inn Express Sequim', ' Quality Inn & Suites at Olympic National Park']","[131.0, 435.0, 138.0, 101.0, 230.0, 84.0, 119.99, 99.0, 69.0, 75.0, 92.65, 99.0, 80.0, 74.0, 119.0, 109.0]"
6,Mount Rainier,Washington,"['Paradise Inn', 'National Park Inn', 'Mountain Meadows Inn', 'Nisqually Lodge']","[159.0, 145.0, 84.0, 140.0]"
7,Sequoia/Kings Canyon,California,"['Wuksachi Village & Lodge', 'John Muir Lodge', 'Grant Grove Cabins', 'Rio Sierra Riverhouse', 'Gateway Lodge', 'Cedar Grove Lodge', 'Silver City Resort', 'Buckeye Tree Lodge & Cabins', 'Comfort Inn & Suites Sequoia Kings Canyon', ' Sequoia River Dance Bed & Breakfast', ' Lazy J Ranch Motel', ' Sierra Lodge', ' Sequoia Motel', ' The River Jewel Suites', ' Holiday Inn Express & Suites Dinuba West', ' Wyndham Visalia']","[129.0, 145.0, 56.0, 180.0, 150.0, 158.0, 165.0, 129.0, 99.0, 155.0, 125.0, 139.0, 105.0, 250.0, 80.0, 115.0]"
8,Big Bend,Texas,"['Chisos Mountains Lodge', 'Lajitas Resort', 'Big Bend Resort & Adventures', 'Gage Hotel', 'Chisos Mining Co. Motel']","[156.0, 149.0, 119.0, 185.0, 70.0]"
9,Great Smoky Mountains,Tennesse,"['Brookside Resort', 'The Appy Lodge', 'Little Arrow Outdoor Resort', 'Buckhorn Inn', 'Panther Creek Cabins', 'River Terrace Resort and Convention Center', 'Wild Bear Inn', 'Best Western Cades Cove Inn', 'Baymont Inn by Wyndham Cherokee Smoky Mountains']","[73.75, 119.0, 76.0, 125.0, 90.0, 79.0, 65.0, 69.0, 69.0]"
