,name,inception,highest_peak
0,Yellowstone National Park,1872-03-01T00:00:00Z,Eagle Peak
1,Sequoia National Park,1940-03-04T00:00:00Z,Mount Whitney
2,Isle Royale National Park,1940-04-03T00:00:00Z,Mount Desor
3,Yosemite National Park,1890-10-01T00:00:00Z,Mount Lyell
4,Zion National Park,1919-11-19T00:00:00Z,Horse Ranch Mountain
5,Hawaiʻi Volcanoes National Park,1916-01-01T00:00:00Z,Mauna Loa
6,Denali National Park and Preserve,1917-01-01T00:00:00Z,Denali
7,Bryce Canyon National Park,1928-09-15T00:00:00Z,Rainbow Point
8,Grand Teton National Park,1929-02-26T00:00:00Z,Grand Teton
9,Arches National Park,1971-11-12T00:00:00Z,Elephant Butte
10,Mesa Verde National Park,1906-01-01T00:00:00Z,Park Point
11,Crater Lake National Park,1902-01-01T00:00:00Z,Mount Scott
12,Death Valley National Park,1994-10-31T00:00:00Z,Telescope Peak
13,Glacier Bay National Park and Preserve,1980-01-01T00:00:00Z,Mount Fairweather
14,Black Canyon of the Gunnison National Park,1933-03-02T00:00:00Z,Poison Spring Hill
15,Petrified Forest National Park,1962-01-01T00:00:00Z,Pilot Rock
16,Channel Islands National Park,1980-01-01T00:00:00Z,El Montañon
17,Badlands National Park,1939-01-25T00:00:00Z,Red Shirt Table
18,Acadia National Park,1916-07-08T00:00:00Z,Cadillac Mountain
20,Guadalupe Mountains National Park,1972-09-30T00:00:00Z,Guadalupe Peak
21,Olympic National Park,1938-06-29T00:00:00Z,Mount Olympus
22,Glacier National Park,1910-05-11T00:00:00Z,Mount Cleveland
23,Great Smoky Mountains National Park,1934-06-15T00:00:00Z,Clingmans Dome
24,Canyonlands National Park,1964-09-12T00:00:00Z,Cathedral Point
25,Gates of the Arctic National Park and Preserve,1980-01-01T00:00:00Z,Mount Igikpak
26,Great Sand Dunes National Park and Preserve,2004-01-01T00:00:00Z,Tijeras Peak
27,Katmai National Park and Preserve,1980-01-01T00:00:00Z,Mount Griggs
28,Saguaro National Park,1994-01-01T00:00:00Z,Mica Mountain
29,Lake Clark National Park and Preserve,1978-01-01T00:00:00Z,Mount Redoubt
30,Joshua Tree National Park,1994-01-01T00:00:00Z,Quail Mountain
31,Wrangell–St. Elias National Park and Preserve,1980-01-01T00:00:00Z,Mount Saint Elias
32,Rocky Mountain National Park,1915-01-01T00:00:00Z,Longs Peak
33,Kobuk Valley National Park,1980-12-02T00:00:00Z,Mount Angayukaqsraq
34,Kenai Fjords National Park,1980-01-01T00:00:00Z,McCarty Peak
35,National Park of American Samoa,1988-01-01T00:00:00Z,Lata Mountain
36,Kings Canyon National Park,1940-01-01T00:00:00Z,North Palisade
37,Mount Rainier National Park,1899-03-02T00:00:00Z,Mount Rainier
38,Shenandoah National Park,1935-12-26T00:00:00Z,Hawksbill Mountain
39,Haleakalā National Park,1961-07-01T00:00:00Z,Haleakalā
40,Great Basin National Park,1987-01-01T00:00:00Z,Wheeler Peak
41,Theodore Roosevelt National Park,1978-01-01T00:00:00Z,Peck Hill
42,Hot Springs National Park,1921-03-04T00:00:00Z,Music Mountain
43,Lassen Volcanic National Park,1916-08-09T00:00:00Z,Lassen Peak
44,North Cascades National Park,1968-10-02T00:00:00Z,Goode Mountain
45,Big Bend National Park,1942-06-12T00:00:00Z,Emory Peak
47,Pinnacles National Park,2013-01-10T00:00:00Z,North Chalone Peak
48,New River Gorge National Park and Preserve,2020-12-27T00:00:00Z,Swell Mountain
